Name,Assign,Category,Priority,Status
THEO I Paper,,,,Done
Chikios,,,,Done
Personal Website,,Dev,,Done
Rasberry Pi,,,,Done
All Languages Flashcards,,Linguistics,High,In progress
The Kandice miracle Library,,Dev,High,In progress
Gooava,,Dev,High,In progress
Learnimon,,Dev,High,In progress
STWC website,,Dev,High,In progress
Chikios. It is that time again,,Dev,Intermediate,In progress
"Figma to Local ",,Writing,Intermediate,Not started
Scattered to Local,,Writing,Intermediate,Not started
Crea un falshcards per datti Biblichi.,,Dev,Intermediate,Not started
Study flow,,Dev,Low,Not started
Local to Notion,,Writing,negligible,Not started
Greek Grammar Chart,,Writing,Low,Not started
Polish shrood.app,,Dev,Low,Not started
Construgire un metodo di organisazzioni globale,,Writing,Low,Not started
"All nations ",,Writing,negligible,Not started
Map of Arthur TN,,Home,negligible,Not started
Docs to Local,,Writing,Intermediate,In progress
Language teaching Curriculum,,Home,Low,In progress
Make a library of ALL my images,,Dev,,Done
OneWord to GDocs to Local,,Writing,,Done
Notebooks,,Writing,negligible,Not started
Add New app to Shrood,,Dev,negligible,Not started
Ricercare Devtools,,Dev,,Done
Shrood sticky note,,Shrood,,Done
Shrood  - Greek Geek,,Shrood,,Done
Shrood - Add New App,,Shrood,,Done
"Create a word soup game for my wife ",,Dev,negligible,Not started
Make Shrood/apps their own repo,,Dev,,Not started
Create a flash cards set for my wife,,,,Done
Pull Greek Geek apps into their own,,Dev,Low,In progress
Download All the BIOOLA material to my local,,Writing,Low,In progress
Languages app,,Dev,,Not started
Color SVGs with classes,,,,Done